Year,Smoothed SST (F),Smoothed Power Dissipation Index (10^11 m^3/s^2)
1951,82.1066,2.6784
1952,82.21388,2.249
1953,82.15412,2.1383
1954,82.01354,2.3011
1955,81.9455,2.2156
1956,82.02902,1.9505
1957,82.09598,1.783
1958,82.02362,1.778
1959,81.87494,2.0556
1960,81.8078,2.4492
1961,81.8978,2.5897
1962,81.9482,2.5354
1963,81.85316,2.4939
1964,81.75254,2.6379
1965,81.7466,2.7074
1966,81.77846,2.419
1967,81.81104,2.1363
1968,81.87872,1.9656
1969,81.91652,1.9072
1970,81.78728,1.9082
1971,81.55508,1.6771
1972,81.4136,1.424
1973,81.37796,1.3788
1974,81.41198,1.5631
1975,81.51332,1.718
1976,81.61736,1.5895
1977,81.68396,1.5082
1978,81.78962,1.9018
1979,81.97178,2.6182
1980,82.03964,2.8708
1981,81.88304,2.2747
1982,81.6503,1.4132
1983,81.50918,1.1123
1984,81.4901,1.3397
1985,81.60332,1.4556
1986,81.84002,1.4057
1987,82.05314,1.7075
1988,82.17536,2.3569
1989,82.16564,2.6223
1990,82.02452,2.2292
1991,81.82904,1.6827
1992,81.67334,1.3428
1993,81.734,1.5155
1994,81.95414,2.4098
1995,82.17032,3.3501
1996,82.37804,3.654
1997,82.553,3.5959
1998,82.6268,3.7471
1999,82.55858,3.8891
2000,82.41872,3.3709
2001,82.41242,2.7995
2002,82.60628,3.231
2003,82.86494,4.5551
2004,83.07068,5.5545
2005,83.06402,5.1439
2006,82.87646,3.8943
2007,82.71716,2.9178
2008,82.74092,2.6936
2009,82.93082,2.911
2010,83.06348,3.0732
2011,83.07806,2.9344
2012,83.00318,2.342
2013,82.9085,1.7643
2014,82.85504,1.7555
2015,82.84784,2.6053
2016,82.8437,3.8005
2017,82.7609,4.53
2018,,
2019,,
